,date,cust_avail_v3,css_count,css_score,orders,new_conv,new_sales,new_sales_perc,sales,calls_per_day
0,2018-04-02,0.8786,2,1.39,7.0,0.1705,812.75,0.5971,1361.15,37.0
1,2018-04-03,0.8679000000000001,1,1.81,6.0,0.1455,876.52,0.6256,1401.16,25.0
2,2018-04-04,0.8973,1,4.9,8.0,0.0394,786.81,0.9379,838.87,28.0
3,2018-04-05,0.9786,2,3.54,5.0,0.0757,293.19,0.9262999999999999,316.53,33.0
4,2018-04-09,0.9308999999999998,4,7.95,2.0,0.0765,396.28,0.48230000000000006,821.6,34.0
5,2018-04-10,0.8767,3,0.82,5.0,0.1898,408.73,0.8327,490.83,32.0
6,2018-04-11,0.9575,0,6.24,8.0,0.135,269.64,0.7006999999999999,384.83,31.0
7,2018-04-12,0.9756,2,8.33,10.0,0.1844,955.04,0.6966,1371.04,34.0
8,2018-04-13,0.9146,7,4.96,9.0,0.09480000000000001,127.22,0.8495,149.76,36.0
9,2018-04-16,0.9872,5,4.38,7.0,0.1222,911.2,0.6721,1355.74,33.0
10,2018-04-17,1.053,1,7.58,5.0,0.09049999999999998,222.73,0.5074,438.96,22.0
11,2018-04-18,0.8192,3,6.69,9.0,0.1018,786.83,0.7833,1004.54,33.0
12,2018-04-19,0.9915999999999999,5,1.67,4.0,0.2003,8.8,0.2097,41.97,34.0
13,2018-04-20,0.9476,4,2.47,9.0,0.121,392.38,0.8994,436.26,26.0
14,2018-04-23,0.9142,4,8.9,6.0,0.155,686.82,0.8205,837.12,23.0
15,2018-04-24,0.9112,1,4.28,6.0,0.0333,322.93,0.4435,728.14,25.0
16,2018-04-25,1.0445,3,2.31,1.0,0.1234,62.37,0.1635,381.57,34.0
17,2018-04-27,0.9438,2,4.3,2.0,0.0908,375.96,0.5391,697.34,36.0
18,2018-04-30,0.9948999999999999,0,2.59,3.0,0.1404,444.71,0.9247,480.91,35.0
