,date,cust_avail_v3,css_count,css_score,orders,new_conv,new_sales,new_sales_perc,sales,calls_per_day
0,2018-04-02,84.78999999999999%,2,3.39,9.0,1.59%,$697.16,73.42%,$949.51,32.0
1,2018-04-03,93.33%,1,0.19,3.0,19.36%,$704.84,89.16%,$790.54,23.0
2,2018-04-04,88.79%,1,3.08,6.0,16.23%,$214.46,72.31%,$296.57,36.0
3,2018-04-05,88.81%,2,2.39,4.0,13.489999999999998%,$281.23,34.37%,$818.23,35.0
4,2018-04-09,88.79%,4,3.64,8.0,4.45%,$86.92,25.06%,$346.83,35.0
5,2018-04-10,87.0%,3,8.56,7.0,1.4000000000000001%,$586.92,69.6%,$843.29,37.0
6,2018-04-11,94.51%,0,1.92,1.0,20.13%,$868.25,66.97%,$1296.56,32.0
7,2018-04-12,97.67%,2,7.88,6.0,21.47%,$876.31,75.44%,$1161.66,23.0
8,2018-04-13,100.8%,7,4.7,7.0,5.35%,$887.82,78.48%,$1131.29,34.0
9,2018-04-16,89.41%,5,8.37,7.0,8.59%,$454.71,59.84%,$759.84,36.0
10,2018-04-17,90.49000000000001%,1,5.62,2.0,0.72%,$911.23,63.0%,$1446.44,38.0
11,2018-04-18,97.23%,3,8.43,7.0,13.59%,$160.96,49.76%,$323.46,27.0
12,2018-04-19,86.97%,5,3.93,8.0,18.54%,$915.55,66.19%,$1383.17,25.0
13,2018-04-20,83.35000000000001%,4,0.5,8.0,20.419999999999998%,$136.12,99.16%,$137.28,23.0
14,2018-04-23,89.41%,4,5.95,6.0,19.25%,$333.88,42.91%,$778.02,22.0
15,2018-04-24,82.99%,1,8.28,3.0,1.87%,$195.15,40.12%,$486.47,39.0
16,2018-04-25,103.50999999999999%,3,7.98,1.0,18.11%,$193.22,76.34%,$253.09,27.0
17,2018-04-27,82.31%,2,2.8,9.0,19.869999999999997%,$941.08,65.9%,$1428.12,34.0
18,2018-04-30,92.41%,0,6.57,9.0,6.32%,$82.97,15.47%,$536.29,26.0
